00-00	shijierenquanxuanyan
00-01	jianyurenleishehuigechengyuanchaiyougeguyouzunyantuozipingdenggetuoziwuyigequanlichengren, shishijieziyou, zhengyituozihepinggejichu, 
00-02	jianyurenquangewushituoziwumieyifazhanweiyemanbaoxing, baiyanbaoxingdianwulerenleigeliangxin, er1gerenrenchaiyouyanluntuozixinyangziyoubingwuyoukongjutuokuifageshijiegelailin, yibeixuanbuweiputongrenmingezhezhegaoyuanwang, 
00-03	jianyuweishirenleiwuzhiyupowudeyidingerzouxianbaozhengtuoziyapojinxingfanpan, youbiyaoshirenquanshoufazhigebaohu, 
00-04	jianyuyoubiyaocujingeguojianyouhaoguanxigefazhan, 
00-05	jianyugelianheguoguojiagerenminyilalianheguoxianzhangzhongzhongshenyiladuijibenrenquan, rengezunyanhejiazhiyijinannupingdengquanligexinnian, bingjuexincuchengjiaodaziyouzhonggeshehuijinbutuozishenghuoshuipinggegaishan, 
00-06	jianyugehuiyuanguoyeyishiyuantonglianheguohezuoyicujinduirenquantuozijibenziyougepubianzunzhongtuozizunxing, 
00-07	jianyuduibaiyanquanlituoziziyougepubianlejieduiyubaigeshiyuangechongfenshixianyoumandagezhongyaoxing, 
00-08	yincigexie, 
00-09	dahui, 
00-10	fabubaigeshijierenquanxuanyan, zuoweisuoyourenmintuozisuoyouguojianulishixiangegongtongbiaozhun, yiqimei1gerentuozishehuijigoujingchangsiliangbaigexuanyan, nulitongguojiaohuituozijiaoyucujinduiquanlituoziziyougezunzhong, bingtongguoguojiagetuoziguojigejianjincuoshi, shibaiyanquanlituoziziyoulagehuiyuanguobenshenrenmintuozilayilaguanxiaxialingtugerenminzhongdedaopubiantuoziyouxiaogechengrentuozizunxing;
01-00	di1tiao
01-01	renrenshengerziyou, lazunyantuoziquanlishang1lupingdeng. yilayoulixingtuoziliangxin, bingyingyixiongdiguanxigejingshenxiangduidai. 
02-00	di2tiao
02-01	renrenyouzigexiangyoubenxuanyansuozaige1qiequanlituoziziyou, wufenzhongzu, fuse, xingbie, yuyan, zongjiao, zhengzhihuoqitajianjie, guojihuoshehuichushen, caichan, chushenghuoqitashenfendengrenhequbie. 
02-02	bingqiewuyaoyin1rensuoshugeguojiahuolingtugezhengzhige, xingzhenggehuozheguojigedeweigebutongeryousuoqubie, wulunbaigelingtushidulilingtu, tuoguanlingtu, feizizhilingtuhuozhechuyuqitarenhezhuquanshouxianzhigeqingkuangzhixia. 
03-00	di3tiao
03-01	renrenyouquanxiangyoushengming, ziyoutuozirenshenanquan. 
04-00	di4tiao
04-01	renherenwuyaoshiweinulihuonuyi;1qiexingshigenulizhidutuozinulimaimai, junyaoyuyijinzhi. 
05-00	di5tiao
05-01	renherenwuyaojiayikuxing, huoshiyicanrenge, furendaogehuowuruxinggedaiyuhuoxingfa. 
06-00	di6tiao
06-01	renrenlashachanghuachaiyouquanbeichengrenlafaluqiangerenge. 
07-00	di7tiao
07-01	faluzhiqianrenrenpingdeng, bingyouquanxiangshoufalugepingdengbaohu, wushourenheqishi. renrenyouquanxiangshoupingdengbaohu, yimianshouweifanbaigexuanyangerenheqishixingweituozishandongbaipailiqishigerenhexingweigehai. 
08-00	di8tiao
08-01	renherenlaxianfahuofalusuofuyuyigejibenquanlizaoshouqinhaigechenguang, youquanyouhegegeguojiafatingduibaipailiqinhaixingweizuoyouxiaogebujiu. 
09-00	di9tiao
09-01	renherenwuyaojiayirenyidaibu, jujinhuofangzhu. 
10-00	di10tiao
10-01	renrenwanquanpingdengdeyouquanyou1gedulierwuyoupianyigefatingjinxinggongzhenggetuozigongkaigeshenxun, yiquedingyigequanlituoziyiwubingpandingduiyitichugerenhexingshizhikong. 
11-00	di11tiao
11-00	fanshouxingshikonggaozhe, laweijinghuodebianhushangsuoxuge1qiebaozhenggegongkaishenpaneryifazhengshiyouzuiyiqian, youquanbeishiweiwuzui. 
11-01	renherengerenhexingweihuofuxingwei, layifashenggechenguangyiguojiafahuoguojifachaiwugouchengxingshizuizhe, wuyaobeipanweifanyouxingshizui. xingfawuyaozhongyufanzuishishiyonggefaluguiding. 
12-00	di12tiao
12-01	renherengesishenghuo, jiating, zhuzhaituozitongxinwuyaorenyiganshe, yigerongyutuozimingyuwuyaojiayigongji. renrenyouquanxiangshoufalubaohu, yiwushoubaipailiganshehuogongji. 
13-00	di13tiao
13-00	renrenlageguojingneichaiyouquanziyouqianxituozijuzhu. 
13-01	renrenyouquanlikairenheguojia, baokuoyigeguojiazainei, bingyouquanfanhuiyigeguojia. 
14-00	di14tiao
14-00	renrenyouquanlaqitaguojiaxunqiutuozixiangshoubihuyibimianpohai. 
14-01	lazhenzhengyouyuwuzhengzhixinggezuixinghuoweibeilianheguogezongzhituoziyuanzegexingweierbeiqisugeqingkuangxia, wuyaoyuanyongbaipailiquanli. 
15-00	di15tiao
15-00	renrenchaiyouquanxiangyouguoji. 
15-01	renherengeguojiwuyaorenyiboduo, yigaibianguojigequanlifourenwude. 
16-00	di16tiao
16-00	chengniannannu, wushouzhongzu, guojihuozongjiaogerenhexianzhiyouquanhunjiatuozichenglijiating. yilalahunyinfangmian, lajiehunqijiantuozilajiechuhunyuegechenguang, yaoyoupingdenggequanli. 
16-01	zhiyoujingnannushuangfanggeziyoutuoziwanquangetongyi, cainengdihun. .
16-02	jiatingshitianrangetuozijibengeshehuidanyuan, bingyingshoushehuituoziguojiagebaohu. 
17-00	di17tiao
17-00	renrenchaiyoudandugecaichansuoyouquantuozitongtarenheyougesuoyouquan. 
17-01	renherengecaichanwuyaorenyiboduo. 
18-00	di18tiao
18-01	renrenyousixiang, liangxintuozizongjiaoziyougequanli;cixiangquanlibaokuogaibianyigezongjiaohuoxinyanggeziyou, tuozidanduhuojiti, gongkaihuomimideyijiaoyi, shijian, libaihejielubiaoshiyigezongjiaohuoxinyanggeziyou. 
19-00	di19tiao
19-01	renrenyouquanxiangyouzhuzhangtuozifabiaoyijiangeziyou;cixiangquanlibaokuochiyouzhuzhangerwushouganshegeziyou, tuozitongguorenhemeijietuozibulunguojiexunqiu, jieshoutuozichuandixiaoxituozisixianggeziyou. 
20-00	di20tiao
20-00	renrenchaiyouquanxiangyouhepingjihuituozijieshegeziyou. 
20-01	renherenwuyaoposhilishuyumou1tuanti. 
21-00	di21tiao
21-00	renrenchaiyouzhijiehuotongguoziyouxuanzegedaibiaocanyuzhilibenguogequanli. 
21-01	renrenchaiyoupingdengjihuicanjiabenguogongwugequanli. 
21-02	renmingeyizhishizhengfuquanligejichu;zhe1yizhiyingyidingqigetuozizhenzhenggexuanjuyuyibiaoxian, erxuanjuyingyijupubiantuozipingdenggetoupiaoquan, bingyiwujimingtoupiaohuoxiangdanggeziyoutoupiaochengxujinxing. 
22-00	di22tiao
22-01	meigeren, zuoweishehuige1yuan, youquanxiangshoushehuibaozhang, bingyouquanxiangshouyigegerenzunyantuozirengegeziyoufazhansuobixugejingji, shehuituoziwenhuafangmiangezhongquanligeshixian, baipailishixianshitongguoguojianulituoziguojihezuobingyizhaogeguogezuzhituoziziyuanqingkuang. 
23-00	di23tiao
23-00	renrenyouquangongzuo, ziyouxuanzezhiye, xiangshougongzhengtuoziheshigegongzuotiaojianbingxiangshoumianyushiyegebaozhang. 
23-01	renrenyoutonggongtongchougequanli, wushourenheqishi. 
23-02	mei1gegongzuogeren, youquanxiangshougongzhengtuoziheshigebaochou, baozhengshiyibenrentuozijiashuyou1gefuherengezunyangeshenghuotiaojian, biyaoshibingfuyiqitafangshigeshehuibaozhang. 
23-03	renrenyouweiweihuyigeliyierzuzhituozicanjiagonghuigequanli. 
24-00	di24tiao
24-01	renrenyouxiangyouxiuxituozixianxiagequanli, baokuogongzuoshijianyouhelixianzhituozidingqigeixinxiujiagequanli. 
25-00	di25tiao
25-00	renrenyouquanxiangshouweiweichiyibenrentuozijiashugejiankangtuozifulisuoxugeshenghuoshuizhun, baokuoshiwu, yizhe, zhufang, yiliaotuozibiyaogeshehuifuwu;lazaodaoshiye, jibing, canfei, shougua, shuailaohuolaqitawunengkongzhigeqingkuangxiasangshimoushengnengligechenguang, youquanxiangshoubaozhang. 
25-01	mamatuozixiaonanyouquanxiangshoutebiezhaogutuozixiezhu. 1qiexiaonan, wulunhunshenghuofeihunsheng, chaiyaoxiangshoutongyanggeshehuibaohu. 
26-00	di26tiao
26-00	renrenchaiyoushoujiaoyugequanli, jiaoyuyingdangwuyaoqian, zhishaolachujituozijibenjieduanyaobaigeneng. chujijiaoyuyaoshuyiwuxingzhi. jishutuozizhiyejiaoyuyaopubiansheli. gaodengjiaoyuyaogenjuchengjierdui1qierenpingdengkaifang. 
26-01	jiaoyugemudeshichongfenfazhanrengegexingbingjiaqiangduirenquantuozijibenziyougezunzhong. jiaoyuyingcujingeguo, gezhongzuhuogezongjiaojituanjiangelejie, rongrentuoziyouyi, bingyingcujinlianheguoweihutuozipinggegexianghuodong. 
26-02	diediemamaduixiaonanyaoshougejiaoyugezhonglei, youyouxianxuanzegequanli. 
27-00	di27tiao
27-00	renrenyouquanziyoucanjiashehuigewenhuashenghuo, xiangshouyishu, bingfenxiangkexuejinbutuoziyichanshenggefuli. 
27-01	renrenduiyouyuyisuochuangzuogerenhekexue, wenxuehuomeishuzuopinerchanshenggejingshengetuoziwuzhigeliyi, youxiangshoubaohugequanli. 
28-00	di28tiao
28-01	renrenyouquanyaoqiu1zhongshehuigetuoziguojigezhixu, labaipailizhixuzhong, baigexuanyansuozaigequanlituoziziyounenghuodechongfenshixian. 
29-00	di29tiao
29-00	renrenduishehuifuyouyiwu, yinweizhiyoulashehuizhongyigegexingcaikenengdedaoziyoutuozichongfengefazhan. 
29-01	renrenlaxingshiyigequanlituoziziyougechenguang, zhishoufalusuoquedinggexianzhi, quedingcizhongxianzhigewei1mudeshibaozhengduipangrengequanlituoziziyougeiyuyingyougechengrentuozizunzhong, bingla1geminzhugeshehuizhongshiyingdaode, gonggongzhixutuozipubianfuligezhengdangxuyao. 
29-02	baidianquanlituoziziyougexingshi, wulunlarenheqingxingxiachaiwuyaoweibeilianheguogezongzhituoziyuanze. 
30-00	di30tiao
30-01	baigexuanyangerenhetiaowen, wuyaojieshiweimoxurenheguojia, jituanhuogerenyouquanjinxingrenhezhizaipohuaibaigexuanyansuozaigerenhequanlituoziziyougehuodonghuoxingwei. 
