00-00	shijierenquanxuanyan
00-01	jianyuduirenleijiatingsuoyouchengyuandeguyouzunyanjiqipingdengdehebudewandequanlidechengren, naishishijieziyou, zhengyiyuhepingdejijiao, 
00-02	jianyuduirenquandehashihewugaoxianshiguadudebaoxing, gexiebaoxingdianwudarenleideliangxin, er1gerenrenxiangyouyanlunhexinyangziyoubingmianyuweiqiehekuifadeshijiedelailin, yibeixuanbudashiputongrenmindezuigaoyuanwang, 
00-03	jianyuweishirenleibuzhipobudeyidingerzouxianduibaozhengheyapoqigongzi, youbiyaoshirenquanshoufazhidebaohu, 
00-04	jianyuyoubiyaocujingeguojian1mozihoudeguanxidefazhan, 
00-05	jianyugelianheguoguojiaderenminzailianheguoxianzhanglitoujiangkadatamenduijibenrenquan, rengezunyanhejiazhiyijinannupingdengquanlidexiashu, bingxialaomaocuchengjiaodaziyouzhongdeshehuijinbuheshenghuoshuipingdegaishan, 
00-06	jianyugehuiyuanguoshiyuankadatonglianheguoda1heshouyicujinduirenquanhejibenziyoudepubianzunzhonghezunxing, 
00-07	jianyuduigexiequanliheziyoudepubianxiaodeduiyugegeshiyuandechongfenshixianshimanyaojinde, 
00-08	suoyigeqizi, 
00-09	dahui, 
00-10	fabuge1shijierenquanxuanyan, zuoweisuoyourenminhesuoyouguojiashigechulishixiandegongtongbiaozhun, weiyuanmei1gerenheshehuijigoushikezijidagexuanyan, haoshengtongguojiaohuihejiaoyucujinduiquanliheziyoudezunzhong, bingtongguoguojiadeheguojidejianjincuoshi, shigexiequanliheziyouzaigehuiyuanguobenshenrenminjizaiqiguanxiaxiadepanziderenminzhongdedaopubianheyouxiaodechengrenhezunxing;
01-00	di1tiao
01-01	renrenshengerziyou, zaizunyanhequanlishang1lupingdeng. tamenfuyoulixingheliangxin, zaideyixiongdiguanxidejingshenxiangduidai. 
02-00	di2tiao
02-01	renren1shiyouzigexiangyougexuanyanxiejide1qiequanliheziyou, bufenzhongzu, seqi, xingbie, yuyan, zongjiao, zhengzhihuoqitajianjie, guojihuoshehuichushen, caichan, chushenghuoqitashenfendengsuimeziqubie. 
