00-00	ptiyyaasaaklwaadwysittimnusychn
00-01	doytiikaarymrabsakdisriitaekamneid laeasittitiiteaateiiymkanlaeatiimaiaachpeiktondaikongsmaachiktangmwlhaengkrobkrawmnusychaati peonpueentaanhaengisrpaap kwaamyutitrrm laeasantipaapnailok
00-02	doytiikaarmainampaalaeakaarhminnaikunkaakongsittimnusychn yangplhaimiikaarkratamanpaateueen suengpeonkaarkadyaangraayraengtomnotrrmkongmnusychaati laeakaarmaatuengkongloktiidaimiikaarprakaashaikwaammiiisrpaapnaikaarpuudlaeakwaamcheuee laeaisrpaapchaakkwaamhwaadklawlaeakwaamtongkaarkongmnusy peonkwaampraartnaasuungsudkongprachaachntawpai
00-03	doytiipeonkaarchampeontiisittimnusychnkwrdairabkwaamkumkrongdoyhlaknititrrm taachamaibangkabhaikntonghankeaahaakaarlukkuentotaantrraachlaeakaarkdkiipeonwitiitaangsudtaay
00-04	doytiipeonkaarchampeontiichasngserimpatnaakaarhaengkwaamsampantchanmitrrahwaangchaatitaang²
00-05	doytiiprachaachnhaengshprachaachaatidaiyueenyaniikkrangwainaikdbatrtuengsrattaanaisittimnusychnkanpueentaan naisakdisriilaeakaakongmnusy laeanaisittitiiteaateiiymkankongbrrdaachaaylaeahying laeadaimungmantiichasngserimkwaamkaawhnaataangsangkmlaeamaatrtaanhaengchiiwittiidiikuennaiisrpaapankwaangkwaangyingkuen
00-06	doytiiratsmaachiktaangptiyaantiichabrrlutuengsuengkaarsngserimkaarkeaarplaeakaaryuedtueesittimnusychn laeaisrpaapkanpueentaandoysaakl doykwaamrwmmueekabshprachaachaati
00-07	doytiikwaamkeaachairwmkannaisittilaeaisrpaaphelaanii peonsingsamkaytiisud peueehaiptiyaanniisamreochplteombribuurn
00-08	chanan badnii smachchaachuengprakaasptiyyaasaaklwaadwysittimnusychnnii haipeonmaatrtaanrwmkanhaengkwaamsamreochsamhrabprachaachntangmwl laeaprachaachaatitanghlaay peueechudmunghmaaytiiwaa pachchekbukkltukknlaeatukswnkongsangkm doykaarkamnuengtuengptiyyaaniipeonneueengnity chamungmansngserimkaarkeaarpsittilaeaisrpaaphelaanii dwykaarsonlaeakaarsueksaa laeahaimiikaarymrablaeayuedtueedoysaaklyaangmiiprasittipl dwymaatrkaarhaengchaatilaearahwaangpratesankaawhnaataamlamdab tangnaibrrdaaprachaachnkongratsmaachikdwykaneng laeanaibrrdaaprachaachnkongdindaentiiyuutaiketamnaachhaengratnan
01-00	k 1
01-01	mnusytangpwngkeidmaamiiisralaeasemopaakkannaisakdisriilaeasitti taangnaitnmiihetupllaeamnotrrm laeakwrptibatitokandwychitwiyyaanhaengpraadrpaap
02-00	k 2
02-01	tukknymmiisittilaeaisrpaaptangpwngtaamtiikamhndwainaiptiyyaanii doypraaschaakkaarbaengyaekmaiwaachniddai aati cheueechaati piw pes paasaa saasnaa kwaamkidheontaangkaarmeueenghrueetaangueen pueenpetaangchaatihrueesangkm trapysin kaarkeid hrueestaanaueen nokhenueechaaknii chamaimiikaarbaengyaekdai bnpueentaankongstaanataangkaarmeueeng taangkdhmaay hrueetaangkaarrahwaangprateskongprates hrueedindaentiibukklsangkad maiwaadindaenniichapeonekraach yuunaikwaampitaks midaipkkrongtneng hrueeoyuupaaytaikaarchamkadotiptaiyueendai
03-00	k 3
03-01	tukknmiisittinaikaarmiichiiwit seriipaap laeakwaammanknghaengbukkl
04-00	k 4
04-01	bukkldaichatkyuunaikwaampeontaas hrueespaawachamymmaidai tangnii haamkwaampeontaas laeakaarkaataastukruupbaeb
05-00	k 5
05-01	bukkldaichatuukkratamkaartrmaanhrueekaarptibatihrueekaarlngtostiihodraay raimnusytrrmhruee yamyiisakdisriimaidai
06-00	k 6
06-01	tukknmiisittitiichadairabkaarymrabtukhaenghnwaapeonbukkltaamkdhmaay
07-00	k 7
07-01	tukknsemopaakkantaamkdhmaaylaeamiisittitiichadairabkwaamkumkrongkongkdhmaayteaateiiymkan doypraaschaakkaarleueekptibatidai tukknmiisittitiichadairabkwaamkumkrongteaateiiymkanchaakkaarleueekptibatidai anpeonkaarlwnglameidptiyyaanii laeachaakkaaryuynghaimiikaarleueekptibatidangklaaw
08-00	k 8
08-01	tukknmiisittitiichadairabkaaryeiiywyaaanmiiprasittiplchaaksaaltiimiiamnaachhaengrattokaarkratamanlwnglameidsittikanpueentaan suengtndairabtaamrattrrmnuuyhrueekdhmaay
09-00	k 9
09-01	bukkldaichatuukchabkum kakkang hrueenertestaamampechaimaidai
10-00	k 10
10-01	tukknymmiisittinaikwaamsemopaakyaangteomtiinaikaardairabkaarpichaarnaakdiitiipeontrrmlaeapeidpeychaaksaaltiiisralaeamailameiiyng naikaarpichaarnaakamhndsittilaeahnaatiikongtnlaeakoklaawhaaaayaadaitotn
11-00	k 11
11-00	tukkntiituukklaawhaawaakratampidtaangaayaa miisittitiichadairabkaarsannistaanwaikonwaabrisuttichnkwaachapisuuchndaiwaamiikwaampidtaamkdhmaaynaikaarpichaarnaakdiitiipeidpey suengtndairabhlakprakantiichampeontangpwngsamhrabkaartosuukdii
11-01	bukkldaichatuuktadsinwaamiikwaampidtaangaayaadai anneueengchaakkaarkratamhrueelawendai anmidaitueewaapeonkwaampidtaangaayaataamkdhmaayhaengchaatihrueekdhmaayrahwaangprates naiknatiidaikratamkaarnanmaidai laeachakamhndtostiihnakkwaatiibangkabchainaiknatiidaikratamkwaampidtaangaayaananmaidai
12-00	k 12
12-01	bukkldaichatuuktaerksaengtaamampechainaikwaampeonswntaw krobkraw tiiyuuaasay hrueekaarsueesaar hrueechatuuklbhluukeiiyrtiyslaeachueeseiiyngmaidai tukknmiisittitiichadairabkwaamkumkrongkongkdhmaaytokaartaerksaengsittihrueekaarlbhluudangklaawnan
13-00	k 13
13-00	tukknmiisittinaiisrpaaphaengkaarkelueenyaaylaeakaaryuuaasaypaaynaiprmdaenkongtaelarat
13-01	tukknmiisittitiichaoknokpratesdai rwmtangprateskongtneng laeasittitiichaklabsuupratestn
14-00	k 14
14-00	tukknmiisittitiichasaewnghaa laeatiichadaitiiliipaynaipratesueenchaakkaarprahatprahaar
14-01	sittiniichaykkuenklaawaangkabkrniitiikaardamneinkdiitiikeidkuendoytae chaakkwaampidtiimichaitaangkaarmeueenghrueechaakkaarkratamankadtowattuprasngklaeahlakkaarkongshprachaachaatimaidai
15-00	k 15
15-00	tukknmiisittinaisaychaatihnueng
15-01	bukkldaichatuukpeiktonsaychaatikongtntaamampechai hrueetuukptisetsittitiichapeliiynsaychaatikongtnmaidai
16-00	k 16
16-00	brrdaachaaylaeahyingtiimiiaayukrbbribuurnlaew miisittitiichasmrslaeakoraangsraangkrobkrawdoypraaschaakkaarchamkaddai anneueengchaakcheueechaati saychaati hrueesaasnaa taangymmiisittiteaateiiymkannaikaarsmrs rahwaangkaarsmrs laeanaikaarkaadchaakkaarsmrs
16-01	kaarsmrschakratamdoykwaamyinymyaangisralaeateomtiikongpuutiichapeonkuusmrsteaanan
16-02	krobkrawpeonhnwytrrmchaatilaeapueentaankongsangkm laeaymmiisittitiichadairabkwaamkumkrongchaaksangkmlaearat
17-00	k 17
17-00	tukknmiisittitiichapeoncheaakongtrapysindoytneng laeadoyrwmkabpuuueen
17-01	bukkldaichatuukeaatrapysinpaichaaktntaamampechaimaidai
18-00	k 18
18-01	tukknmiisittinaiisrpaaphaengkwaamkid mnotrrm laeasaasnaa tangnii sittiniirwmtuengisrpaapnaikaarpeliiynsaasnaahrueekwaamcheuee laeaisrpaapnaikaarsaedngoktaangsaasnaahrueekwaamcheueetueekongtnnaikaarson kaarptibati kaarsakkaarabuuchaa laeakaarprakobpitiikrrm maiwaachadoylampanghrueenaichumchnrwmkabpuuueen laeanaitiisaataarnahrueeswnbukkl
19-00	k 19
19-01	tukknmiisittinaiisrpaaphaengkwaamheonlaeakaarsaedngok tangnii sittiniirwmtuengisrpaaptiichatueeeaakwaamheondoypraaschaakkaartaerksaeng laeatiichasaewnghaa rablaeasngkomuulkaawsaarlaeakokidpaansueedai laeadoymaikamnuengtuengprmdaen
20-00	k 20
20-00	tukknmiisittinaiisrpaaphaengkaarchumnumlaeakaarsmaakmdoysanti
20-01	bukkldaimaiaachtuukbangkabhaisangkadsmaakmhnuengdai
21-00	k 21
21-00	tukknmiisittitiichamiiswnrwmnaikaarpkkrongpratestn doytrnghrueepaanpuutaensuengdairableueektangdoyisra
21-01	tukknmiisittitiichakeaatuengbrikaarsaataarnanaipratestndoysemopaak
21-02	chetchamnngkongprachaachnchatongpeonpueentaanhaengamnaachkaarpkkrong tangnii chetchamnngniichatongsaedngoktaangkaarleueektangtaamkamhndwelaalaeayaangtaechring suengtongpeonkaarokseiiyngyaangtawtuenglaeasemopaak laeatongpeonkaarlngkanaenlab hrueewitiikaarlngkanaendoyisranaitamnongdeiiywkan
22-00	k 22
